isAlive, hasCollided, currentDirection, nextDirection, remainingPellets, score
true false EAST SOUTH 178 0
true false SOUTH EAST 178 0
true false EAST WEST 177 10
true false WEST EAST 177 10
true false EAST SOUTH 177 10
true false SOUTH SOUTH 177 10
true false SOUTH NORTH 177 10
true false NORTH SOUTH 176 20
true false SOUTH NORTH 176 20
true false NORTH SOUTH 176 20
true false SOUTH SOUTH 176 20
true false SOUTH SOUTH 176 20
true false SOUTH EAST 176 20
true false EAST WEST 175 30
true false WEST NORTH 175 30
true false NORTH WEST 175 30
true false WEST EAST 175 30
true false EAST EAST 175 30
true false EAST EAST 175 30
true false EAST NORTH 175 30
true false NORTH NORTH 174 40
true false NORTH EAST 174 40
true false EAST NORTH 173 50
true false NORTH WEST 173 50
true false WEST WEST 173 50
true false WEST WEST 173 50
true false WEST NORTH 173 50
true false NORTH NORTH 173 50
true false NORTH SOUTH 173 50
true false SOUTH EAST 173 50
true false EAST NORTH 173 50
true false NORTH EAST 173 50
true false EAST NORTH 173 50
true false NORTH SOUTH 173 50
true false SOUTH SOUTH 173 50
true false SOUTH SOUTH 173 50
true false SOUTH EAST 173 50
true false EAST SOUTH 172 60
true false SOUTH NORTH 172 60
true false NORTH EAST 172 60
true false EAST WEST 172 60
true false WEST NORTH 172 60
true false NORTH WEST 172 60
true false WEST EAST 172 60
true false EAST SOUTH 172 60
true false SOUTH SOUTH 172 60
true false SOUTH NORTH 172 60
true false NORTH SOUTH 172 60
true false SOUTH WEST 172 60
true false WEST NORTH 172 60
true false NORTH EAST 172 60
true false EAST EAST 172 60
true false EAST WEST 171 70
true false WEST EAST 171 70
true false EAST WEST 171 70
true false WEST EAST 171 70
true false EAST WEST 171 70
true false WEST WEST 171 70
true false WEST EAST 171 70
true false EAST WEST 171 70
true false WEST EAST 171 70
true false EAST WEST 171 70
true false WEST NORTH 171 70
true false NORTH EAST 171 70
true false EAST EAST 171 70
true false EAST SOUTH 171 70
true false SOUTH NORTH 171 70
true false NORTH WEST 171 70
true false WEST EAST 171 70
true false EAST SOUTH 171 70
true false SOUTH WEST 171 70
true false WEST NORTH 171 70
true false NORTH NORTH 171 70
true false NORTH EAST 171 70
true false EAST NORTH 171 70
true false NORTH SOUTH 171 70
true false SOUTH NORTH 171 70
true false NORTH WEST 171 70
true false WEST SOUTH 171 70
true false SOUTH WEST 171 70
true false WEST SOUTH 171 70
true false SOUTH WEST 171 70
true false WEST NORTH 171 70
true false NORTH WEST 171 70
true false WEST SOUTH 171 70
true false SOUTH EAST 171 70
true false EAST WEST 171 70
true false WEST EAST 171 70
true false EAST NORTH 171 70
true false NORTH EAST 171 70
true false EAST SOUTH 171 70
true false SOUTH EAST 171 70
true false EAST WEST 171 70
true false WEST SOUTH 171 70
true false SOUTH EAST 171 70
true false EAST SOUTH 171 70
true false SOUTH NORTH 171 70
true false NORTH SOUTH 171 70
true false SOUTH EAST 171 70
true false EAST NORTH 170 80
true false NORTH SOUTH 170 80
true false SOUTH WEST 170 80
true false WEST SOUTH 170 80
true false SOUTH NORTH 170 80
true false NORTH EAST 170 80
true false EAST NORTH 170 80
true false NORTH WEST 170 80
true false WEST WEST 170 80
true false WEST WEST 170 80
true false WEST NORTH 170 80
true false NORTH NORTH 170 80
true false NORTH EAST 170 80
true false EAST NORTH 170 80
true false NORTH SOUTH 170 80
true false SOUTH SOUTH 170 80
true false SOUTH NORTH 170 80
true false NORTH EAST 170 80
true false EAST SOUTH 170 80
true false SOUTH EAST 170 80
true false EAST NORTH 170 80
true false NORTH WEST 170 80
true false WEST NORTH 170 80
true false NORTH SOUTH 170 80
true false SOUTH WEST 170 80
true false WEST SOUTH 170 80
true false SOUTH EAST 170 80
true false EAST SOUTH 170 80
true false SOUTH EAST 170 80
true false EAST SOUTH 170 80
true false SOUTH WEST 170 80
true false WEST SOUTH 170 80
true false SOUTH EAST 170 80
true false EAST EAST 170 80
true false EAST NORTH 169 90
true false NORTH NORTH 168 100
true false NORTH EAST 167 110
true false EAST WEST 167 110
true false WEST WEST 167 110
true false WEST EAST 167 110
true false EAST WEST 167 110
true false WEST EAST 167 110
true false EAST NORTH 167 110
true false NORTH EAST 166 120
true false EAST NORTH 166 120
true false NORTH NORTH 165 130
true false NORTH SOUTH 164 140
true false SOUTH SOUTH 164 140
true false SOUTH WEST 164 140
true false WEST EAST 164 140
true false EAST SOUTH 164 140
true false SOUTH NORTH 164 140
true false NORTH NORTH 164 140
true false NORTH SOUTH 164 140
true false SOUTH EAST 164 140
true false EAST WEST 164 140
true false WEST NORTH 164 140
true false NORTH EAST 164 140
true false EAST WEST 164 140
true false WEST NORTH 164 140
true false NORTH EAST 164 140
true false EAST SOUTH 164 140
true false SOUTH WEST 164 140
true false WEST EAST 164 140
true false EAST SOUTH 164 140
true false SOUTH EAST 164 140
true false EAST NORTH 164 140
true false NORTH SOUTH 164 140
true false SOUTH NORTH 164 140
true false NORTH WEST 164 140
true false WEST NORTH 164 140
true false NORTH WEST 164 140
true false WEST SOUTH 164 140
true false SOUTH NORTH 164 140
true false NORTH WEST 164 140
true false WEST NORTH 164 140
true false NORTH SOUTH 164 140
true false SOUTH SOUTH 164 140
true false SOUTH EAST 164 140
true false EAST EAST 164 140
true false EAST NORTH 164 140
true false NORTH SOUTH 164 140
